timestamp,bid
1514880466.477,1.25388
1514880466.727,1.25385
1514880467.727,1.25387
1514880467.977,1.2539
1514880468.227,1.2539
1514880468.477,1.2539
1514880468.727,1.25386
1514880469.227,1.25386
1514880471.977,1.25386
1514880472.227,1.25388
1514880472.477,1.2539
1514880480.727,1.2539
1514880482.227,1.2539
1514880482.477,1.2539
1514880482.727,1.25388
1514880482.977,1.25388
1514880484.227,1.25388
1514880484.727,1.25388
1514880484.977,1.25386
1514880486.477,1.25384
1514880486.727,1.25385
1514880491.24,1.25389
1514880491.49,1.2539
1514880500.477,1.2539
1514880500.727,1.25387
1514880500.977,1.25387
1514880502.977,1.25388
1514880504.727,1.25389
1514880506.227,1.25391
1514880507.977,1.25389
1514880508.227,1.25389
1514880508.477,1.2539
1514880515.477,1.25391
1514880515.977,1.25391
1514880518.477,1.25394
1514880518.727,1.25395
1514880518.977,1.25393
1514880519.477,1.25392
1514880520.477,1.25393
1514880528.727,1.25395
1514880535.727,1.25396
1514880535.977,1.25399
1514880536.227,1.25401
1514880538.477,1.25399
1514880538.727,1.25397
1514880545.477,1.25398
1514880545.727,1.25404
1514880547.727,1.25396
1514880549.727,1.25397
1514880558.727,1.25397
1514880561.477,1.25396
1514880570.977,1.25398
1514880571.227,1.25396
1514880572.977,1.25397
1514880573.227,1.25399
1514880573.477,1.254
1514880574.49,1.25398
1514880574.727,1.25396
1514880581.727,1.25397
1514880581.977,1.25399
1514880582.477,1.25403
1514880584.977,1.25404
1514880585.227,1.25405
1514880585.49,1.25412
1514880585.74,1.25414
1514880586.24,1.25414
1514880586.477,1.25413
1514880586.727,1.25414
1514880586.977,1.25414
1514880587.227,1.25414
1514880588.727,1.25415
1514880588.977,1.25421
1514880589.227,1.25428
1514880589.477,1.25426
1514880591.977,1.25425
1514880592.227,1.25421
1514880592.477,1.25422
1514880593.977,1.25422
1514880594.727,1.2542
1514880594.977,1.25419
1514880595.727,1.2542
1514880595.977,1.25422
1514880596.977,1.25422
1514880597.227,1.25422
1514880598.227,1.2542
1514880598.727,1.25419
1514880599.74,1.25421
1514880599.99,1.25428
1514880600.727,1.25429
1514880600.977,1.25433
1514880602.227,1.25431
1514880602.477,1.25429
1514880605.727,1.25427
1514880605.977,1.25425
1514880606.227,1.25424
1514880606.977,1.25425
1514880608.727,1.25426
1514880610.977,1.25429
1514880611.227,1.25429
1514880612.477,1.25431
1514880613.227,1.25429
1514880613.977,1.2543
1514880614.727,1.25431
1514880615.727,1.25433
1514880615.977,1.25437
1514880616.227,1.25437
1514880616.477,1.25439
1514880616.727,1.25441
1514880618.227,1.25439
1514880618.977,1.25438
1514880620.727,1.25437
1514880620.99,1.25433
1514880621.727,1.25432
1514880622.477,1.25432
1514880622.727,1.25429
1514880622.977,1.2543
1514880623.977,1.2543
1514880624.227,1.25429
1514880625.227,1.2543
1514880625.477,1.25428
1514880626.227,1.25426
1514880626.977,1.25427
1514880627.227,1.25428
1514880627.477,1.25428
1514880629.477,1.25427
1514880631.727,1.25427
1514880631.99,1.25432
1514880632.227,1.25433
1514880635.227,1.25433
1514880635.977,1.25434
1514880636.477,1.25435
1514880636.727,1.25439
1514880636.977,1.25442
1514880637.477,1.2544
1514880637.727,1.25437
1514880637.977,1.25438
1514880638.477,1.25437
1514880638.727,1.25437
1514880639.727,1.25437
1514880639.977,1.25435
1514880640.227,1.25439
1514880640.477,1.25443
1514880643.477,1.25441
1514880643.727,1.25442
1514880648.227,1.25444
1514880648.477,1.25446
1514880649.727,1.25448
1514880649.977,1.25452
1514880650.227,1.25451
1514880650.477,1.25454
1514880650.727,1.25453
1514880652.477,1.25454
1514880654.477,1.25452
1514880656.477,1.25455
1514880656.727,1.25455
1514880657.727,1.25457
1514880660.477,1.25455
1514880660.727,1.25456
1514880661.727,1.25458
