"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID"
"9000013354",20773.773118,26239.330784,0,2,"03","03","01","02","01","02",0,2,"21","01","06","06","03",2,0,"01","02","01","05","02","01","04","01",0,0,2,"01","202201",1,"1023"
"9000013356",3597.0230143,0,10957.672533,2,"01","01","01","02","01","02",2,4,"21","01","07","07","01",2,2,"01","10","01","05","01","01","04","01",0,0,2,"01","202202",0,"1023"
"9000013358",28672.835775,35009.780232,0,1,"03","03","01","02","01","02",0,0,"21","01","05","05","03",1,0,"02","09","01","05","04","01","04","01",0,0,1,"01","202202",0,"1023"
"9000013360",33060.050762,46347.038252,0,4,"01","01","01","02","01","02",4,7,"21","01","09","09","01",4,4,"01","08","01","05","06","01","04","01",0,0,4,"01","202202",3,"1023"
"9000013362",15755.104866,21706.951142,0,2,"01","01","02","02","01","02",2,7,"22","01","09","09","01",4,2,"01","04","02","04","04","01","05","01",1,1,3,"01","202202",2,"1023"
"9000013366",7433.5316036,12034.298823,0,3,"02","01","01","02","01","02",3,12,"21","01","10","10","01",3,3,"01","10","01","05","06","01","04","01",0,0,3,"01","202202",2,"1023"
"9000013373",5471.3578173,6530.1722714,0,1,"01","04","02","02","01","02",1,0,"23","01","05","05","01",1,2,"02","09","03","03","06","01","03","01",0,0,1,"01","202202",1,"1023"
"9000013380",11880.072075,17481.18508,0,3,"01","01","02","02","01","02",2,3,"22","01","11","11","01",3,2,"01","10","02","04","04","01","05","01",0,0,3,"01","202202",2,"1023"
"9000013382",7452.244473,9958.2633123,0,1,"03","03","01","02","01","02",1,0,"21","01","07","07","03",1,1,"02","01","01","05","03","01","04","01",0,0,1,"01","202202",1,"1023"
"9000013398",14272.482745,18767.383109,0,2,"03","02","02","02","01","02",2,4,"22","01","06","06","01",2,2,"01","02","02","04","05","01","05","01",0,0,2,"01","202202",1,"1023"
"9000013411",8149.7707926,10470.240881,0,1,"03","03","01","02","01","02",1,2,"21","01","07","07","03",1,1,"02","01","01","05","05","01","04","01",0,0,1,"01","202202",1,"1023"
"9000013438",6158.1592508,8666.1736665,0,2,"04","01","02","02","01","02",2,0,"22","01","06","06","01",3,2,"01","04","02","04","03","02","06","01",0,1,2,"01","202202",2,"1023"
"9000013440",8484.468453,11225.177285,0,2,"02","03","01","02","01","02",2,6,"21","01","07","07","01",3,0,"01","06","01","05","05","01","04","01",1,0,3,"01","202202",1,"1023"
"9000013450",24467.773768,36640.161438,0,1,"03","03","01","02","01","02",1,2,"21","01","11","11","03",2,0,"01","07","01","05","03","01","04","01",1,0,2,"01","202208",1,"1023"
"9000013509",17775.811918,23475.413557,0,2,"01","01","02","02","01","02",3,4,"23","01","03","03","01",3,2,"02","08","03","03","03","04","06","02",1,0,3,"02","202202",1,"1024"
"9000013512",6288.2303148,0,21016.994859,1,"01","01","02","02","01","02",1,0,"22","01","06","06","01",1,1,"02","01","02","04","01","01","03","01",0,0,1,"01","202202",1,"1023"
"9000013514",4876.6051104,0,21391.582687,1,"01","02","01","02","01","02",1,0,"21","01","04","04","01",1,1,"02","09","01","05","01","04","06","02",0,0,1,"02","202202",0,"1024"
"9000013519",9126.3250966,13439.36552,0,2,"02","01","01","02","01","02",2,2,"21","01","07","07","01",2,2,"01","10","01","05","03","01","04","01",0,0,2,"01","202202",1,"1023"
"9000013522",48153.163031,59473.210431,0,1,"03","01","02","02","01","01",0,0,"23","01","02","02","97",1,0,"02","01","03","01","04","04","06","02",0,0,1,"01","202201",0,"1023"
"9000013525",4340.7900833,6092.5299421,0,2,"01","01","01","02","01","02",2,2,"21","01","07","07","01",2,2,"01","10","01","05","02","01","04","01",0,0,2,"01","202201",0,"1023"
"9000013533",10616.883352,13595.825315,0,2,"03","03","02","02","01","02",2,2,"23","01","05","05","01",2,2,"02","02","03","02","06","01","02","01",0,0,2,"01","202202",1,"1023"
"9000013537",10268.803045,14079.772695,0,3,"02","01","01","02","01","01",2,1,"21","01","06","06","01",3,2,"01","10","01","05","02","01","04","01",0,0,3,"01","202202",2,"1023"
"9000013541",12664.047794,18181.619341,0,1,"03","03","01","02","01","01",1,2,"21","01","11","11","01",1,1,"02","01","01","05","04","01","04","01",0,0,1,"01","202203",1,"1023"
"9000013565",7541.3020077,10438.454903,0,1,"03","03","01","02","01","02",0,7,"21","01","09","09","01",1,0,"02","01","01","05","06","01","04","01",0,0,1,"01","202202",1,"1023"
"9000013572",10465.408469,15554.612254,0,1,"03","03","02","02","01","02",1,2,"23","01","10","10","01",3,1,"01","05","03","02","05","01","01","01",2,0,3,"01","202201",1,"1023"
"9000013589",7658.4091223,10318.136016,0,2,"02","02","01","02","01","02",2,8,"21","01","09","09","03",2,2,"01","10","01","05","03","01","04","01",0,0,2,"01","202202",0,"1023"
"9000013594",16023.928656,23990.480312,0,2,"01","01","02","02","01","02",2,5,"23","01","10","10","01",2,3,"01","02","03","03","05","01","02","01",0,0,2,"01","202201",2,"1023"
"9000013598",32534.292802,45481.596024,0,2,"02","01","01","02","01","02",2,0,"21","01","05","05","01",2,1,"01","10","01","05","04","01","04","01",0,0,2,"01","202201",0,"1023"
"9000013613",6154.553515,7908.0251812,0,1,"01","01","01","02","01","02",1,2,"21","01","06","06","01",1,1,"02","01","01","05","02","01","04","01",0,0,1,"01","202201",1,"1023"
"9000013626",3438.5096841,0,9938.2476552,2,"01","01","01","02","01","02",2,5,"21","01","10","10","01",2,2,"01","02","01","05","01","01","04","01",0,0,2,"01","202202",2,"1023"
"9000013657",5170.4593448,6515.0419832,0,2,"03","02","02","02","01","02",2,12,"22","01","06","06","01",2,2,"01","02","02","04","02","01","03","01",0,0,2,"01","202201",2,"1023"
"9000013670",7515.0840351,0,30137.309613,2,"02","01","01","02","01","02",2,4,"21","01","07","07","01",2,2,"01","10","01","05","01","01","04","01",0,0,2,"01","202201",0,"1023"
"9000013703",23552.948724,0,64044.381676,2,"02","01","02","02","01","02",2,0,"22","01","08","08","01",2,1,"01","10","02","04","01","01","03","01",0,0,2,"01","202202",1,"1023"
"9000013704",25953.911214,35915.873151,0,2,"02","01","02","02","01","02",2,5,"23","01","04","04","01",2,2,"01","10","03","01","04","01","01","01",0,0,2,"01","202201",0,"1023"
"9000013707",8045.0749014,10149.308386,0,1,"03","03","01","02","01","02",1,5,"21","01","06","06","01",1,1,"02","01","01","05","02","01","04","01",0,0,1,"01","202201",1,"1023"
"9000013744",48605.940176,67569.224132,0,2,"03","03","01","02","01","01",1,0,"21","01","02","02","97",2,0,"01","02","01","05","02","01","04","01",0,0,2,"01","202202",0,"1023"
"9000013761",7772.1595541,10205.294639,0,1,"02","01","02","02","01","02",1,2,"22","01","04","04","01",1,1,"02","09","02","04","02","01","03","01",0,0,1,"01","202201",0,"1023"
"9000013772",14559.917632,19665.318127,0,2,"02","01","02","02","01","02",2,2,"23","01","03","03","01",2,2,"01","10","03","01","02","04","06","02",0,0,2,"02","202201",0,"1024"
"9000013774",25238.546487,34546.720305,0,1,"03","03","02","02","01","02",0,2,"22","01","01","01","01",1,0,"02","01","02","04","02","02","06","01",0,0,1,"01","202201",0,"1023"
"9000013812",11111.0163,16402.807032,0,4,"02","01","01","02","01","02",4,6,"21","01","10","10","01",4,4,"01","10","01","05","02","01","04","01",0,0,4,"01","202202",3,"1023"
"9000013821",13086.280055,18317.81721,0,3,"01","01","01","02","01","02",3,2,"21","01","07","07","01",3,6,"01","10","01","05","05","01","04","01",0,0,3,"01","202202",1,"1023"
"9000013826",16939.95554,26999.208922,0,2,"01","02","02","02","01","02",2,2,"23","01","11","11","02",2,2,"01","02","03","01","05","01","02","01",0,0,2,"01","202202",1,"1023"
"9000013828",31673.822571,42111.312293,0,3,"02","03","01","02","01","01",2,8,"21","01","06","06","01",3,2,"01","02","01","05","02","01","04","01",0,0,3,"01","202202",3,"1023"
"9000013837",8049.98813,11084.601614,0,1,"02","01","01","02","01","02",1,0,"21","01","03","03","01",1,1,"02","09","01","05","05","01","04","01",0,0,1,"01","202202",0,"1023"
"9000013847",9418.7519273,12695.002077,0,1,"01","01","02","02","01","02",1,6,"23","01","08","08","03",2,1,"01","05","03","03","06","01","01","01",1,0,2,"01","202202",1,"1023"
"9000013854",14421.646115,18614.277941,0,1,"03","03","02","02","01","02",1,2,"23","01","03","03","01",1,1,"02","09","03","01","03","01","02","01",0,0,1,"01","202202",0,"1023"
"9000013855",12730.696046,17840.346057,0,1,"03","03","01","02","01","02",1,0,"21","01","10","10","01",1,1,"02","01","01","05","06","01","04","01",0,0,1,"01","202202",1,"1023"
"9000013856",19312.461715,25393.176308,0,1,"03","03","01","02","01","02",0,2,"21","01","03","03","02",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202203",1,"1023"
"9000013868",6835.7802098,0,26666.474874,1,"03","03","01","02","01","02",0,2,"21","01","06","06","01",1,0,"02","01","01","05","01","01","04","01",0,0,1,"01","202202",1,"1023"
"9000013889",10918.822086,15284.210344,0,3,"01","01","01","02","01","02",2,8,"21","01","11","11","01",5,2,"01","06","01","05","04","01","04","01",2,0,5,"01","202202",2,"1023"
"9000013896",17096.580299,21868.069035,0,2,"01","01","01","02","01","02",2,6,"21","01","11","11","03",4,3,"01","04","01","05","02","04","06","02",1,1,3,"02","202201",2,"1024"
"9000013899",6243.24759,7777.7290315,0,1,"02","01","02","02","01","02",1,3,"23","01","02","02","01",1,1,"02","01","03","03","04","01","02","01",0,0,1,"01","202202",0,"1023"
"9000013901",8405.4487373,11358.111166,0,3,"02","03","01","02","01","01",1,6,"21","01","06","06","01",3,1,"01","10","01","05","04","01","04","01",0,0,3,"01","202202",0,"1023"
"9000013904",26550.934279,32476.664992,0,1,"03","03","01","02","01","02",0,0,"21","01","04","04","03",1,0,"02","01","01","05","04","01","04","01",0,0,1,"01","202201",1,"1023"
"9000013906",15362.825811,19930.501602,0,1,"02","03","01","02","01","02",0,2,"21","01","08","08","03",1,0,"02","01","01","05","06","01","04","01",0,0,1,"01","202202",1,"1023"
"9000013922",3673.3329301,4492.0428347,0,1,"02","01","02","02","01","02",1,2,"24","01","06","06","01",1,1,"02","09","04","06","05","04","06","02",0,0,1,"02","202202",0,"1024"
"9000013936",13667.262428,17138.906046,0,1,"02","02","02","02","01","02",1,3,"23","01","06","06","01",1,2,"02","01","03","01","02","04","06","02",0,0,1,"02","202201",1,"1024"
"9000013938",7067.1832199,8824.0350801,0,3,"01","01","02","02","01","02",3,0,"23","01","06","06","01",3,2,"01","10","03","01","02","02","06","01",0,0,3,"02","202202",0,"1024"
