,point_1,ci68l_1,ci68u_1,ci90l_1,ci90u_1,point_2,ci68l_2,ci68u_2,ci90l_2,ci90u_2,point_3,ci68l_3,ci68u_3,ci90l_3,ci90u_3,point_4,ci68l_4,ci68u_4,ci90l_4,ci90u_4
10,-1.29056,-1.59946,-1.23558,-1.71976,-1.111,-0.291975,-0.830261,0.155704,-1.16608,0.493147,-0.995989,-1.65301,-0.523951,-2.02868,-0.109123,-1.53608,-3.25834,0.228578,-4.47673,1.45084
11,-1.2877,-1.61947,-1.23474,-1.74651,-1.10654,-0.260384,-0.821475,0.212659,-1.16913,0.559069,-0.807987,-1.52865,-0.311354,-1.90826,0.122726,-1.92194,-3.7029,-0.114113,-4.96507,1.13104
12,-1.29155,-1.64547,-1.24334,-1.77589,-1.10873,-0.0971559,-0.653845,0.387772,-1.0021,0.752242,-0.857463,-1.61575,-0.339245,-2.03237,0.13582,-1.84984,-3.69178,-0.0191402,-5.00907,1.2459
13,-1.2661,-1.63521,-1.21728,-1.77262,-1.07638,-0.451581,-1.04219,0.0226262,-1.41011,0.396016,-1.01079,-1.82009,-0.473442,-2.23324,0.0342036,-1.52467,-3.40179,0.295909,-4.70336,1.58561
14,-1.25372,-1.63714,-1.20603,-1.78328,-1.06566,-0.594427,-1.20339,-0.0794923,-1.5779,0.287245,-1.03773,-1.88861,-0.485124,-2.34399,0.0423558,-0.962737,-2.85957,0.870877,-4.19868,2.20025
15,-1.28461,-1.68537,-1.24574,-1.83624,-1.09622,-0.332185,-0.947213,0.18012,-1.32648,0.566007,-0.964691,-1.84824,-0.387079,-2.33544,0.155868,-0.622679,-2.59367,1.21403,-3.93028,2.52248
16,-1.21824,-1.63234,-1.17474,-1.78254,-1.01772,-0.235715,-0.880071,0.276903,-1.27144,0.656845,-0.904766,-1.8281,-0.312978,-2.33389,0.25456,-0.0262228,-2.02249,1.79388,-3.34594,3.14944
17,-1.13561,-1.55961,-1.09243,-1.71205,-0.929094,0.129232,-0.518251,0.646617,-0.915868,1.04442,-0.989789,-1.95234,-0.381997,-2.46668,0.184384,-0.482761,-2.52284,1.3336,-3.89126,2.72003
18,-1.08638,-1.51905,-1.04137,-1.67057,-0.878539,0.315444,-0.34277,0.848058,-0.749052,1.2559,-1.06368,-2.05375,-0.445495,-2.58572,0.155115,-1.2671,-3.33641,0.521789,-4.67047,1.8856
19,-0.908363,-1.349,-0.860679,-1.49672,-0.691716,0.318597,-0.335784,0.863127,-0.732119,1.26298,-1.00113,-2.02597,-0.364356,-2.56231,0.23714,-1.68131,-3.79555,0.0941633,-5.11846,1.44138
