DATE,PCECC96
1977-04-01,3962.314
1977-07-01,3999.779
1977-10-01,4059.918
1978-01-01,4082.726
1978-04-01,4170.01
1978-07-01,4187.52
1978-10-01,4221.31
1979-01-01,4243.173
1979-04-01,4240.419
1979-07-01,4281.682
1979-10-01,4292.335
1980-01-01,4286.2
1980-04-01,4189.671
1980-07-01,4235.629
1980-10-01,4292.856
1981-01-01,4307.237
1981-04-01,4307.55
1981-07-01,4327.476
1981-10-01,4297.875
1982-01-01,4329.533
1982-04-01,4342.721
1982-07-01,4371.833
1982-10-01,4448.414
1983-01-01,4492.395
1983-04-01,4583.873
1983-07-01,4666.07
1983-10-01,4740.427
1984-01-01,4779.767
1984-04-01,4846.731
1984-07-01,4882.676
1984-10-01,4945.926
1985-01-01,5029.959
1985-04-01,5076.136
1985-07-01,5172.55
1985-10-01,5183.741
1986-01-01,5229.041
1986-04-01,5286.019
1986-07-01,5379.527
1986-10-01,5412.515
1987-01-01,5417.904
1987-04-01,5491.837
1987-07-01,5554.512
1987-10-01,5566.263
1988-01-01,5664.593
1988-04-01,5706.414
1988-07-01,5757.12
1988-10-01,5822.579
1989-01-01,5849.592
1989-04-01,5876.896
1989-07-01,5933.79
1989-10-01,5959.58
1990-01-01,6009.735
1990-04-01,6028.041
1990-07-01,6051.922
1990-10-01,6005.882
1991-01-01,5983.298
1991-04-01,6032.885
1991-07-01,6062.964
1991-10-01,6059.93
1992-01-01,6173.393
1992-04-01,6215.3
1992-07-01,6281.923
1992-10-01,6356.796
1993-01-01,6381.168
1993-04-01,6439.211
1993-07-01,6510.874
1993-10-01,6568.028
1994-01-01,6643.151
1994-04-01,6694.839
1994-07-01,6745.887
1994-10-01,6818.819
1995-01-01,6835.791
1995-04-01,6895.718
1995-07-01,6958.21
1995-10-01,7006.747
1996-01-01,7071.369
1996-04-01,7147.441
1996-07-01,7190.713
1996-10-01,7247.987
1997-01-01,7324.388
1997-04-01,7357.362
1997-07-01,7482.713
1997-10-01,7572.147
1998-01-01,7648.741
1998-04-01,7783.43
1998-07-01,7884.929
1998-10-01,7998.842
1999-01-01,8080.996
1999-04-01,8204.75
1999-07-01,8296.988
1999-10-01,8418.349
2000-01-01,8545.639
2000-04-01,8625.435
2000-07-01,8708.074
2000-10-01,8784.155
2001-01-01,8816.014
2001-04-01,8833.726
2001-07-01,8864.465
2001-10-01,9007.494
2002-01-01,9027.548
2002-04-01,9073.212
2002-07-01,9136.709
2002-10-01,9187.527
2003-01-01,9232.782
2003-04-01,9338.495
2003-07-01,9470.541
2003-10-01,9535.741
2004-01-01,9624.649
2004-04-01,9677.166
2004-07-01,9790.836
2004-10-01,9901.58
2005-01-01,9964.496
2005-04-01,10074.922
2005-07-01,10158.513
2005-10-01,10177.238
2006-01-01,10288.217
2006-04-01,10341.556
2006-07-01,10407.966
2006-10-01,10507.248
2007-01-01,10572.053
2007-04-01,10599.795
2007-07-01,10670.506
2007-10-01,10712.556
2008-01-01,10697.867
2008-04-01,10727.347
2008-07-01,10644.668
2008-10-01,10548.872
2009-01-01,10522.083
2009-04-01,10470.358
2009-07-01,10540.769
2009-10-01,10529.156
2010-01-01,10590.177
2010-04-01,10685.145
2010-07-01,10761.376
2010-10-01,10827.332
2011-01-01,10868.689
2011-04-01,10879.873
2011-07-01,10912.991
2011-10-01,10931.828
2012-01-01,11010.694
2012-04-01,11030.026
2012-07-01,11052.368
2012-10-01,11096.365
2013-01-01,11155.481
2013-04-01,11172.647
2013-07-01,11214.417
2013-10-01,11304.3
2014-01-01,11347.636
2014-04-01,11453.014
2014-07-01,11565.682
2014-10-01,11694.917
2015-01-01,11772.949
2015-04-01,11852.652
2015-07-01,11943.043
2015-10-01,12003.146
2016-01-01,12091.178
2016-04-01,12152.627
2016-07-01,12223.822
2016-10-01,12283.076
2017-01-01,12372.247
2017-04-01,12430.081
2017-07-01,12500.402
2017-10-01,12631.98
2018-01-01,12707.641
2018-04-01,12816.396
2018-07-01,12900.579
2018-10-01,12955.501
2019-01-01,12975.144
2019-04-01,13088.759
2019-07-01,13192.261
2019-10-01,13248.981
2020-01-01,13014.489
2020-04-01,11756.399
2020-07-01,12820.786
2020-10-01,12927.913
2021-01-01,13282.685
2021-04-01,13665.61
2021-07-01,13732.408
2021-10-01,13818.356
2022-01-01,13881.11
