DATE,HOANBS
1985-01-01,79.983
1985-04-01,80.522
1985-07-01,80.747
1985-10-01,81.154
1986-01-01,81.025
1986-04-01,80.811
1986-07-01,81.220
1986-10-01,81.830
1987-01-01,82.847
1987-04-01,83.303
1987-07-01,83.879
1987-10-01,84.757
1988-01-01,84.840
1988-04-01,86.045
1988-07-01,86.266
1988-10-01,87.236
1989-01-01,88.103
1989-04-01,88.438
1989-07-01,88.633
1989-10-01,88.632
1990-01-01,88.887
1990-04-01,88.492
1990-07-01,88.035
1990-10-01,87.659
1991-01-01,86.791
1991-04-01,86.257
1991-07-01,86.154
1991-10-01,86.009
1992-01-01,85.492
1992-04-01,85.816
1992-07-01,85.970
1992-10-01,86.515
1993-01-01,87.287
1993-04-01,88.281
1993-07-01,88.802
1993-10-01,89.646
1994-01-01,90.195
1994-04-01,91.663
1994-07-01,92.741
1994-10-01,93.125
1995-01-01,93.566
1995-04-01,93.418
1995-07-01,94.500
1995-10-01,94.735
1996-01-01,94.909
1996-04-01,95.805
1996-07-01,96.604
1996-10-01,97.709
1997-01-01,98.535
1997-04-01,99.003
1997-07-01,99.580
1997-10-01,100.046
1998-01-01,100.672
1998-04-01,101.184
1998-07-01,101.318
1998-10-01,102.566
1999-01-01,102.406
1999-04-01,102.974
1999-07-01,103.631
1999-10-01,104.063
2000-01-01,104.581
2000-04-01,104.869
2000-07-01,104.823
2000-10-01,104.448
2001-01-01,104.393
2001-04-01,103.402
2001-07-01,102.110
2001-10-01,100.970
2002-01-01,100.095
2002-04-01,100.344
2002-07-01,99.986
2002-10-01,100.116
2003-01-01,99.601
2003-04-01,99.300
2003-07-01,99.451
2003-10-01,99.955
2004-01-01,100.359
2004-04-01,100.436
2004-07-01,101.078
2004-10-01,101.618
2005-01-01,101.823
2005-04-01,102.404
2005-07-01,102.720
2005-10-01,103.344
2006-01-01,104.369
2006-04-01,104.695
2006-07-01,105.206
2006-10-01,105.512
2007-01-01,105.542
2007-04-01,106.008
2007-07-01,105.683
2007-10-01,105.334
2008-01-01,105.048
2008-04-01,104.429
2008-07-01,103.286
2008-10-01,100.722
2009-01-01,98.158
2009-04-01,95.939
2009-07-01,95.020
2009-10-01,94.822
2010-01-01,94.817
2010-04-01,95.716
2010-07-01,96.260
2010-10-01,96.594
2011-01-01,96.731
2011-04-01,97.625
2011-07-01,97.986
2011-10-01,98.718
2012-01-01,99.493
2012-04-01,99.726
2012-07-01,100.125
2012-10-01,100.652
2013-01-01,101.060
2013-04-01,101.460
2013-07-01,102.051
2013-10-01,102.401
2014-01-01,102.896
2014-04-01,103.630
2014-07-01,104.343
2014-10-01,105.546
2015-01-01,105.681
2015-04-01,106.166
2015-07-01,106.547
2015-10-01,107.077
2016-01-01,107.437
2016-04-01,107.854
2016-07-01,108.180
2016-10-01,108.310
2017-01-01,108.754
2017-04-01,109.642
2017-07-01,109.766
2017-10-01,110.528
2018-01-01,111.148
2018-04-01,111.812
2018-07-01,112.066
2018-10-01,112.326
2019-01-01,112.315
2019-04-01,112.283
2019-07-01,112.807
2019-10-01,112.926
2020-01-01,111.479
2020-04-01,96.977
2020-07-01,104.763
2020-10-01,107.093
2021-01-01,108.691
2021-04-01,110.044
2021-07-01,111.703
2021-10-01,112.392
2022-01-01,113.879
